CDP Policy Name,LLDP Policy Name,Port-Channel Name,Port-Channel Mode,Policy_Name,Link_Level_Policy,AEP,Link-type,Domain_Type,VM_Provider,Domain,Leaf_Profile_Name,Swich_1_Name,Switch_2_Name,Pair ID,Access_Port
CDP-Enable,LLDP-Disable,LACP-Active,active,Generic_10G,10G,SPOD-1,leaf,vmm,vmware,SPOD-1,Spod-1_srv,901,902,901,47
CDP-Enable,LLDP-Disable,LACP-Active,active,Generic_10G,10G,SPOD-1,leaf,vmm,vmware,SPOD-1,Spod-1_srv,901,902,902,47
CDP-Enable,LLDP-Disable,LACP-Active,active,Generic_10G,10G,SPOD-1,leaf,vmm,vmware,SPOD-1,Spod-1_srv,901,902,901,45
CDP-Enable,LLDP-Disable,LACP-Active,active,Generic_10G,10G,SPOD-1,leaf,vmm,vmware,SPOD-1,Spod-1_srv,901,902,902,45
CDP-Enable,LLDP-Disable,LACP-Active,active,Generic_10G,10G,SPOD-1,leaf,vmm,vmware,SPOD-1,Spod-1_srv,901,902,901,43
CDP-Enable,LLDP-Disable,LACP-Active,active,Generic_10G,10G,SPOD-1,leaf,vmm,vmware,SPOD-1,Spod-1_srv,901,902,902,43
CDP-Enable,LLDP-Disable,LACP-Active,active,Generic_10G,10G,SPOD-1,leaf,vmm,vmware,SPOD-1,Spod-1_srv,901,902,901,41
CDP-Enable,LLDP-Disable,LACP-Active,active,Generic_10G,10G,SPOD-1,leaf,vmm,vmware,SPOD-1,Spod-1_srv,901,902,902,41
CDP-Enable,LLDP-Disable,LACP-Active,active,Generic_10G,10G,SPOD-1,leaf,vmm,vmware,SPOD-1,Spod-1_srv,901,902,901,39
CDP-Enable,LLDP-Disable,LACP-Active,active,Generic_10G,10G,SPOD-1,leaf,vmm,vmware,SPOD-1,Spod-1_srv,901,902,902,39
CDP-Enable,LLDP-Disable,LACP-Active,active,Generic_10G,10G,SPOD-1,leaf,vmm,vmware,SPOD-1,Spod-1_srv,901,902,901,37
CDP-Enable,LLDP-Disable,LACP-Active,active,Generic_10G,10G,SPOD-1,leaf,vmm,vmware,SPOD-1,Spod-1_srv,901,902,902,37
CDP-Enable,LLDP-Disable,LACP-Active,active,Generic_10G,10G,SPOD-1,leaf,vmm,vmware,SPOD-1,Spod-1_srv,901,902,901,35
CDP-Enable,LLDP-Disable,LACP-Active,active,Generic_10G,10G,SPOD-1,leaf,vmm,vmware,SPOD-1,Spod-1_srv,901,902,902,35
CDP-Enable,LLDP-Disable,LACP-Active,active,Generic_10G,10G,SPOD-1,leaf,vmm,vmware,SPOD-1,Spod-1_srv,901,902,901,33
CDP-Enable,LLDP-Disable,LACP-Active,active,Generic_10G,10G,SPOD-1,leaf,vmm,vmware,SPOD-1,Spod-1_srv,901,902,902,33
CDP-Enable,LLDP-Disable,LACP-Active,active,Generic_10G,10G,SPOD-1,leaf,vmm,vmware,SPOD-1,Spod-1_srv,901,902,901,31
CDP-Enable,LLDP-Disable,LACP-Active,active,Generic_10G,10G,SPOD-1,leaf,vmm,vmware,SPOD-1,Spod-1_srv,901,902,902,31
CDP-Enable,LLDP-Disable,LACP-Active,active,Generic_10G,10G,SPOD-1,leaf,vmm,vmware,SPOD-1,Spod-1_srv,901,902,901,29
CDP-Enable,LLDP-Disable,LACP-Active,active,Generic_10G,10G,SPOD-1,leaf,vmm,vmware,SPOD-1,Spod-1_srv,901,902,902,29
CDP-Enable,LLDP-Disable,LACP-Active,active,Generic_10G,10G,SPOD-1,leaf,vmm,vmware,SPOD-1,Spod-1_srv,901,902,901,27
CDP-Enable,LLDP-Disable,LACP-Active,active,Generic_10G,10G,SPOD-1,leaf,vmm,vmware,SPOD-1,Spod-1_srv,901,902,902,27
CDP-Enable,LLDP-Disable,LACP-Active,active,Generic_10G,10G,SPOD-1,leaf,vmm,vmware,SPOD-1,Spod-1_srv,901,902,901,25
CDP-Enable,LLDP-Disable,LACP-Active,active,Generic_10G,10G,SPOD-1,leaf,vmm,vmware,SPOD-1,Spod-1_srv,901,902,902,25